Medicine and Health Care,"Emergency Medical Technician - Intermediate/99 (End December 31, 2013)",EMT-I/99

Medicine and Health Care,"Nationally Registered Advanced Emergency Medical Technician (Begin June 1, 2011)",NRAEMT

Medicine and Health Care,"Emergency Medical Technician - Paramedic (End December 31, 2012)",EMT-P

Medicine and Health Care,"Nationally Registered Paramedic (Begin January 1, 2013)",NRP

Medicine and Health Care,Licensed Paramedic (Texas),LP

Medicine and Health Care,Licensed Practical Nurse (much of U.S.),LPN

Medicine and Health Care,Licensed Vocational Nurse (California and Texas),LVN

Medicine and Health Care,Registered Nurse,RN

Medicine and Health Care,Advanced Practice Nurse,APN

Medicine and Health Care,Advanced Practice Registered Nurse,APRN

Medicine and Health Care,Certified Massage Therapist,CMT

Medicine and Health Care,Licensed Massage Therapist,LMT

Medicine and Health Care,Licensed Clinical Massage Therapist,LCMT

Medicine and Health Care,Licensed Midwife,LM

Medicine and Health Care,Certified Midwife,CM

Medicine and Health Care,Certified Professional Midwife,CPM

Medicine and Health Care,Certified Nurse-Midwife,CNM

Medicine and Health Care,Certified Registered Nurse Anesthetist,CRNA

Medicine and Health Care,Nurse Practitioner,NP

Medicine and Health Care,Physician Assistant,PA-C

Medicine and Health Care,Registered Veterinary Technician,RVT

Medicine and Health Care,Physical Therapist,PT

Medicine and Health Care,Physical Therapy Assistant,PTA

Medicine and Health Care,Medical Laboratory Scientist,MLS

Medicine and Health Care,Medical Technologist,MT

Medicine and Health Care,Medical Laboratory Technician,MLT

Medicine and Health Care,Licensed Professional Counselor,LPC or LCPC

Medicine and Health Care,Licensed Associate Counselor,LAC

Medicine and Health Care,Licensed Master Social Worker,LMSW

Medicine and Health Care,Licensed Clinical Social Worker,LCSW

Medicine and Health Care,Licensed Veterinary Technician,LVT

Medicine and Health Care,Qualified Clinical Social Worker,QCSW

Medicine and Health Care,Certified Tissue Bank Specialist,CTBS

Medicine and Health Care,Certified Hypnotherapist,CHt

Medicine and Health Care,National Board Certified Clinical Hypnotherapist,NBCCH

Medicine and Health Care,National Board Certified Clinical Hypnotherapist in Public Service,NBCCH-PS

Medicine and Health Care,National Board Certified Diplomate in Clinical Hypnotherapy,NBCDCH

Medicine and Health Care,National Board Certified Diplomate in Clinical Hypnotherapy in Public Service,NBCDCH-PS

Medicine and Health Care,National Board Certified Fellow in Clinical Hypnotherapy,NBCFCH

Medicine and Health Care,National Board Certified Fellow in Clinical Hypnotherapy in Public Service,NBCFCH-PS

Medicine and Health Care,Licensed Acupuncturist,L.Ac.

Medicine and Health Care,Diplomate in Acupuncture,Dipl.Ac.

Medicine and Health Care,Diplomate in Oriental Medicine,Dipl.O.M.

Medicine and Health Care,Fellow of the American Society for Parenteral and Enteral Nutrition,FASPEN

Medicine and Health Care,Fellow of the American Academy of Nursing,FAAN

Medicine and Health Care,Fellow of the American Society of Health-System Pharmacists,FASHP

Medicine and Health Care,Fellow of the American Academy of Emergency Medicine,FAAEM

Medicine and Health Care,Fellow of the American Academy of Pediatrics,FAAP

Medicine and Health Care,Fellow of the American College of Cardiology,FACC

Medicine and Health Care,Fellow of the American College of Dentists,FACD

Medicine and Health Care,Fellow of the American College of Endocrinology,FACE

Medicine and Health Care,Fellow of the American College of Physicians,FACP

Medicine and Health Care,Fellow of the American College of Surgeons,FACS

Medicine and Health Care,Fellow of the American College of Osteopathic Family Physicians,FACOFP

Medicine and Health Care,Fellow of the American Congress of Obstetricians and Gynecologists,FACOG

Medicine and Health Care,Doctor of Pharmacy,PharmD

Medicine and Health Care,Registered Pharmacist,R.Ph. or RPh

Medicine and Health Care,Registered Respiratory Therapist,RRT

Medicine and Health Care,"Registered Respiratory Therapist, Neonatal & Pediatric Specialist",RRT-NPS

Medicine and Health Care,"Registered Respiratory Therapist, Sleep Disorder Specialist",RRT-SDS

Medicine and Health Care,"Registered Respiratory Therapist, Adult Critical Care Specialist",RRT-ACCS

Medicine and Health Care,Respiratory practitioner,"RP, RCP"

Medicine and Health Care,Certified Respiratory Therapy Technician,CRTT

Medicine and Health Care,Certified Respiratory Therapist,CRT

Medicine and Health Care,Certified Phlebotomy Technician,CPT

Medicine and Health Care,Certified Athletic trainer,ATC

Medicine and Health Care,Certified Medical Assistant,CMA

Military,United States Army,USA

Military,United States Navy,USN

Military,United States Air Force,USAF

Military,United States Marine Corps,USMC

Military,United States Coast Guard,USCG

Military,Retired,(Ret.)

Real Estate,MAI[6],MAI

Real Estate,SRA[6],SRA

Real Estate,Accredited Member[7],AM

Real Estate,Accredited Senior Appraiser[7],ASA

Real Estate,Accredited Buyer's Representative,ABR

Real Estate,Graduate Realtor Institute,GRI

Real Estate,Accredited Land Consultant,ALC

Real Estate,Certified International Property Specialist,CIPS

Real Estate,Certified Property Manager,CPM

Real Estate,Certified Commercial Investment Member,CCIM

Real Estate,Certified Corporate Housing Professional,CCHP

Religion and Theology,Doctor of Divinity,DD

Religion and Theology,Doctor of Theology,ThD

Religion and Theology,Doctor of Ministry,DMin

Religion and Theology,Master of Theology,ThM

Religion and Theology,Master of Divinity,MDiv

Religion and Theology,Master of Theological Studies,MTS

Religion and Theology,Certified Church Business Administrator,CCA

Religion and Theology,Doctor of Metaphysics,MscD

Surveying,Professional Surveyor & Mapper,PSM

Surveying,Professional Land Surveyor,PLS

Surveying,Registered Land Surveyor,RLS

Surveying,Surveyor Intern,SI

Surveying,Land Surveyor-in-Training,LSIT

Workplace Learning and Performance,Certified Professional in Learning and Performance,CPLP

Workplace Learning and Performance,Accredited Business Communicator,ABC

Workplace Learning and Performance,Accredited in Public Relations,APR

Workplace Learning and Performance,Board Certified Criminal Defense Investigator,CCDI

Workplace Learning and Performance,Editor in the Life Sciences,ELS

Workplace Learning and Performance,Certified Anti-Terrorism Specialist,CAS

Workplace Learning and Performance,Certified Associate of Project Management,CAPM

Workplace Learning and Performance,Certified Broadcast Meteorologist,AMS

Workplace Learning and Performance,Certified Fire Protection Specialist,CFPS

Workplace Learning and Performance,Certified Master Anti-Terrorism Specialist,CMAS

Workplace Learning and Performance,Certified Protection Professional,CPP

Workplace Learning and Performance,Certified Public Relations Counselor,CPRC

Workplace Learning and Performance,Certified Systems Engineering Professional,CSEP

Workplace Learning and Performance,Certified Youth Development Specialist,CYDS

Workplace Learning and Performance,Fellow of The Explorers Club,FEC

Workplace Learning and Performance,Fellow of the Society of Decision Professionals,FSDP

Workplace Learning and Performance,French Wine Scholar,FWS

Workplace Learning and Performance,Licensed Funeral Director,FD

Workplace Learning and Performance,Mobile Certified Marketer,MCM

Workplace Learning and Performance,National Board Certified Teacher,NBCT

Workplace Learning and Performance,Fellow of the National Speleological Society,FNSS

Workplace Learning and Performance,Physical Security Professional,PSP

Workplace Learning and Performance,Professional Certified Investigator,PCI

Workplace Learning and Performance,Professional Manager Certification,PMC

Workplace Learning and Performance,Project Management Professional,PMP

Workplace Learning and Performance,Registered Professional Archaeologist,RPA

Workplace Learning and Performance,Systems Security Certified Practitioner,SSCP

Workplace Learning and Performance,Multi Sport Athlete,MSA
